AttributeId	Description
117	A matéria orgânica refere-se a todos os materiais orgânicos de origem vegetal e animal decompostos, parcialmente decompostos e não decompostos. Em geral, é sinônimo de húmus, embora o último seja mais comumente usado para se referir-se à matéria orgânica bem decomposta chamada substâncias húmicas. O conteúdo de matéria orgânica de horizontes minerais pode ser estimado a partir da cor Munsell de um solo seco e/ou úmido, considerando-se a classe textural. Esta estimativa é baseada na suposição de que a cor do solo (valor) é devido a uma mistura de substâncias orgânicas escuras e minerais de cores claras. Este valor só fornece uma estimativa aproximada.
118	Solos costeiros ou desérticos podem ser especialmente enriquecidos com sais solúveis em água ou sais mais solúveis do que o gesso (CaSO4.2H2O,  log Ks = -4,85 a 25°C). O conteúdo de sal do solo pode ser estimado aproximadamente a partir da CE (em dS m-1 = mS cm-1) medida em uma pasta de solo saturada ou de uma suspensão mais diluída de solo em água (Richards, 1954). Convencionalmente, a CE é medida em laboratório no extrato de saturação (ECes). A maioria dos valores de classificação e dados sobre a sensibilidade das culturas ao sal refere-se a ECes.
119	A geoforma refere-se à forma da superfície da terra na área em que a observação do solo é feita. Ela é descrita em termos geomorfológicos, distinguindo-se em dois níveis. O nível mais elevado corresponde à abordagem SOTER (1990), utilizando apenas sete grandes geoformas que indicam o fisiografia geral da área. Se uma nomenclatura mais detalhada é necessária, outras denominações de geoformas podem ser aplicadas. As geoformas podem ser ainda subdivididas em elementos de terra constituintes.
120	O gradiente do declive, ou simplesmente declividade, refere-se à inclinação da terra circundante ao local. É medido utilizando um clinômetro apontado na direção da inclinação mais acentuada. Onde leituras com clinômetro não são possíveis, as estimativas de campo do gradiente do declive devem ser comparadas com gradientes calculados a partir de mapas de contornos (curvas de nível).As declividades em terreno quase plano são muitas vezes superestimadas. Em planícies abertas, declividades de 0,2% são geralmente bem visível. O registro adequado de pequenas variações de declividade é importante, especialmente para a erosão, irrigação e drenagem. O gradiente do declive é registrado entrando em uma das classes de declive (que pode necessitar modificação para se ajustar à topografia local).
121	"Materiais não consolidados (principalmente sedimentos), a partir do qual o solo foi, presumivelmente, derivado. Há também casos de transição com tipo de rocha do material parental, tais como materiais parcialmente consolidadas e materiais de intemperismo que tenham sido transportados ou coluvionados. A fiabilidade da informação geológica e o conhecimento da litologia local irá determinar se uma definição geral ou específica do material parental pode ser dada. O código SA para saprólito é recomendado onde o material intemperizado in situ está completamente decomposto, é rico em argila, mas ainda mostra a estrutura de rocha. Depósitos aluviais e colúvio derivados de um único tipo de rocha podem ser especificados adiante conforme o respectivo tipo de rocha. Onde um material de origem sobrepõe outro, ambos são indicados."""
122	A unidade de solo refere-se ao um sistema de classificação local ou a unidade de uma legenda da qual o perfil de solo é representativo.
123	A latitude do local, tão acurada quanto possível.
124	A longitude do local, tão acurada quanto possível.
128	A fase é um fator limitante relacionado às características da superfície ou do subsolo da terra. Elas não estão necessariamente relacionadas com a formação do solo e, geralmente, atravessam os limites das unidades de solos. Estas características podem formar uma restrição ao uso da terra. Fases, tal como definido na Legenda Revisada do Mapa de Solos do Mundo da FAO-Unesco de 1988.
129	A topografia refere-se às diferenças de elevação da superfície da terra em uma ampla escala. Ela é derivada do gradiente do declive mais representativo ou característico da área em torno do local.
130	O elemento de terra descreve a geomorfologia das imediações do local. Na maioria dos casos, os elementos de terra são subdivisões das geoformas. No entanto, dependendo da magnitude, a mesma feição geomorfológica pode ser descrita como uma geoforma ou como um elemento de terra, por exemplo, vale, depressão. As dimensões de um elemento de terra são, em geral, comparáveis às unidades de mapeamento de mapas em escalas de semi-detalhe (1:50000 ou maior). Em mapas na escala de reconhecimento (1:250000 ou menor), a unidade de mapeamento inclui, geralmente, mais do que um elemento de terra. Em associações de solo, a ocorrência de cada tipo de solo associado geralmente está relacionada com um único elemento de terra.
131	A micro-topografia refere-se a diferenças naturais ou artificiais de altura em curtas distâncias. Algumas das feições micro-topográficas mostram transições graduais às feições da superfície (afloramentos rochosos, grandes fragmentos superficiais, erosão, etc).
132	Relações solo-paisagem sequenciais chamam a atenção para os aspectos tridimensionais da unidade de solo. Informações sobre relações espaciais ou transições de solo sequenciais podem ser dadas. Movimentos laterais de água e variações laterais e transições em horizontes do solo podem ser descritas.
133	Estimativa da cobertura vegetal.
134	A profundidade efetiva do solo é definida como a profundidade do solo na qual o crescimento das raízes de ervas ou culturas é fortemente inibido. A profundidade efetiva do solo é governada por fatores como a presença de camadas cimentadas, tóxicas ou compactadas,  rocha sã,  ou camadas de cascalho inundadas. Uma elevada lâmina de água permanente também pode controlar a profundidade efetiva do solo, mas pode mudar após a drenagem.
135	O conceito de drenagem do solo utilizado no Guidelines for Soil Description da FAO (1977) com base no Soil Survey Manual do USDA relaciona-se com a frequência e a duração dos períodos em que o solo está livre de saturação ou saturação parcial. As classes de drenagem do solo definidas refletem, portanto, os efeitos combinados do clima, paisagem e solo. Precipitação, infiltração, permeabilidade do solo, taxa de infiltração superficial, movimento interno vertical e lateral de água, e perda (run-off) e ganho (run-on) superficial externo, podem todos afetar a classe de drenagem.
136	Indicação do período durante o qual o solo próximo à superfície está saturado por água subterrânea ou um lençol freático elevado, tomando como base informações locais ou avaliação complementada por feições gleycas no perfil.
137	A condutividade hidráulica é uma medida da capacidade do solo em transmitir água, definida como um volume de água que flui através de uma seção transversal unitária por unidade de tempo na unidade de gradiente hidráulico. Permeabilidade é um termo geral para a mesma capacidade de transmitir água. A condutividade hidráulica, quando medida pelo método de furo do trado, indica a capacidade de todo o solo abaixo da lâmina de água em transmitir água para um dreno. Também pode ser medida para horizontes individuais ou pode ser estimada a partir de outras características físicas do solo. Não deve ser confundida com a taxa de infiltração vertical na superfície do solo.
138	A drenagem externa de um local refere-se a sua posição relativa na paisagem e consequente movimento da água superficial, em que o local se encontra em posição de receber ou fornecer água.
139	Frequência de inundações ou inundação temporária.
140	Duração de enchentes ou inundações temporárias
141	Profundidade de enchentes ou inundações temporárias
142	Profundidade do nível atual da água subterrânea
143	Profundidade mínima até o nível da água subterrânea
144	Profundidade máxima até o nível da água subterrânea
145	A presença de água freática, por exemplo, níveis de água subterrânea mais profundos
146	Qualidade da água subterrânea
147	As condições de umidade existente no solo no momento da descrição, em conjunto com a profundidade (por exemplo: úmido em toda a extensão, ou: seco até 50 cm e úmido abaixo).
148	Percentagem, em massa, de partículas < 2 μm na fração terra fina (partículas < 2000 μm)
149	Percentagem, em massa, de partículas de 2-20 μm na fração terra fina (partículas < 2000 μm)
150	Percentagem, em massa, de partículas de 20-63 μm na fração terra fina (partículas < 2000 μm)
151	Percentagem, em massa, de partículas de 2-63 μm na fração terra fina (partículas < 2000 μm)
152	Percentagem, em massa, de partículas de 63-125 μm na fração terra fina (partículas < 2000 μm)
153	Percentagem, em massa, de partículas de 125-200 μm na fração terra fina (partículas < 2000 μm)
154	Percentagem, em massa, de partículas de 200-630 μm na fração terra fina (partículas < 2000 μm)
155	Percentagem, em massa, de partículas de 630-1250 μm na fração terra fina (partículas < 2000 μm)
156	Percentagem, em massa, de partículas de 1250-2000 μm na fração terra fina (partículas < 2000 μm)
157	Percentagem, em massa, de partículas de 63-2000 μm na fração terra fina (partículas < 2000 μm)
158	Estimativa de campo da percentagem de partículas < 2 μm (argila) na fração terra fina (partículas < 2000 μm)
159	Classificação da natureza dos revestimentos.
160	pH medido no campo.
161	A maior parte da erosão pode ser classificada como erosão hídrica ou eólica, e também deposição.  Uma terceira importante categoria são os movimentos de massa (deslizamentos de terra e fenômenos relacionados).
162	Subdivisão dos tipos de erosão e deposição.
163	O unit_ID SOTER é o código de identificação de uma unidade SOTER no mapa e no banco de dados. Ele liga a área mapeada aos atributos na base de dados e, em particular, ele identifica qual terreno pertence a uma unidade SOTER. Unidades SOTER que têm atributos idênticos carregam o mesmo unit_ID SOTER. Em outras palavras, o unit_ID SOTER é semelhante a um código para uma unidade de mapeamento em um mapa convencional do solo. Para cada mapa SOTER, um código único (até 4 dígitos) é atribuído a cada unidade SOTER que foi distinguida. Na maioria dos mapas SOTER, 2 ou 3 dígitos são suficientes.
164	O ano em que os dados originais do terreno foram coletados serve como a marca temporal ('timestamp') para cada unidade SOTER. Sempre que a unidade SOTER foi composta com base em várias fontes de informação, é aconselhável usar a principal fonte para datá-la. Desse modo, uma ligação entre a unidade SOTER e a principal fonte de informações - um mapa fonte - podem ser feita facilmente. Assim, o ano de compilação dos dados de acordo com os procedimentos SOTER não é registrado, a menos que a compilação em si resultou em alguma significativa reinterpretação com base em fontes adicionais de informação, como imagens de satélite recentes. Em geral, o ano de compilação pode ser deduzido a partir do ano em que os dados foram inseridos na base de dados, uma vez que ambos os anos devem, provavelmente, ser o mesmo ou muito próximos um do outro. Assume-se que o ano em que aos dados do terreno foram coletados também se aplica aos dados do componente de terreno, e nenhuma entrada de data separada é necessária para isso.
165	O código de identificação do mapa fonte de onde os dados foram obtidos para a compilação das unidades SOTER.
166	Elevação mínima absoluta da unidade SOTER, em metros acima do nível do mar. A elevação mínima pode ser lida em um mapa topográfico contornado (curvas de nível).
167	A elevação máxima absoluta da unidade SOTER, em metros acima do nível do mar. A altitude máxima pode ser lida de um mapa topográfico contornado (curvas de nível).
168	O ângulo de inclinação dominante, expresso em percentagem, que prevalece no terreno. Uma propriedade da unidade de terreno SOTER.
169	A intensidade do relevo é a diferença mediana entre o ponto mais alto e o ponto mais baixo dentro do terreno por distância especificada. Esta distância especificada pode ser variável, mas é expressa em m km-1.
170	Geoformas são descritas, principalmente, pela sua morfologia, e não pela sua origem genética ou processos responsáveis ​​pela sua forma. A inclinação dominante é o critério mais importante de diferenciação, seguido pela intensidade do relevo. A intensidade do relevo normalmente é dada em metros por quilômetro, mas para distinção entre colinas/morros e montanhas é mais prático usar intervalos de dois quilômetros. No nível mais alto de separação da geoforma, adequado para escalas iguais ou menores do que 1:10 milhões, quatro grupos são distintos (adaptado de Remmelzwaal, 1991). Eles podem ser subdivididos quando a posição da geoforma tomando em consideração a terra circundante. Onde a distinção entre as várias geoformas de segundo nível não está clara a partir do gradiente ou da intensidade do relevo, deve ser usada a descrição genérica.
171	Um refinamento das classes de declividade comparado àquelas utilizadas para as geoformas principais. Subdivisões regionais da declividade são aplicáveis, principalmente, a geoformas em nível (planas) e, em certa medida, a geoformas onduladas. Elas não devem ser utilizadas para terras íngremes, exceto no caso das montanhas com planícies intermontanas, mas podem ser utilizadas para terras com relevo complexo, onde a subdivisão pode ser relacionada à geoforma constituinte com a menor declividade. No caso de geoformas complexas, a geoforma saliente deve ser de pelo menos 25 m de altura (caso contrário, deve ser considerado como meso-relevo), excepto para terras terraceadas, onde os terraços principais devem ter diferenças de elevação de pelo menos 10 m.
172	O nível hipsométrica é, para terras em nível e ligeiramente inclinadas (intensidade do relevo inferior a 50 m), uma indicação da altura do nível de base local acima do nível do mar. Para terras com intensidade do relevo superior a 50 m, o nível hipsométrico é usado para indicar a altura acima da base local (isto é, o relevo local).
173	O grau de dissecação é difícil de quantificar de forma prática. Fatores como a cobertura, declividade e profundidade das feições dissecadas contribuem para a intensidade de dissecação da paisagem. O SOTER utiliza a densidade de drenagem como uma medida qualitativa do grau de dissecação. Quanto maior a densidade de drenagem, mais dissecada uma faixa de terra é e, em geral, os declives das partes dissecadas também serão mais acentuados. A profundidade de dissecação pode ser assumida como maior com o aumento da densidade da rede de drenagem e com maiores inclinações na paisagem. Por outro lado, uma elevada densidade de drenagem em terras muito planas (declividades dominantes < 2%) não está, necessariamente, relacionada com a dissecção do terreno, mas poderia ser uma indicação da umidade da terra. A forma mais precisa para medir a densidade de drenagem (definida como o comprimento média dos canais de drenagem por unidade de área de terra, expressa em km km-2) é medindo o comprimento de todos cursos de água bem definidos, permanentes e sazonais, no interior um bloco representativo. Isso deve ser feito usando mapas de boa qualidade na escala de 1:50.000 ou maior. Existem técnicas para acelerar a determinação através da contagem de pontos de interseção (Verhasselt, 1961). Na prática, o material necessário para realizar esta medida nem sempre está disponível, e apenas estimativas quantitativas podem ser feitas. Isso deve ser feito com auxílio do material mais detalhada disponível (mapas, fotos aéreas ou imagens de satélite). O grau de dissecação não é aplicável à terras com intensidade do relevo de mais de 600 m.
174	Uma descrição generalizada do material superficial consolidado ou não consolidada, subjacente a maior parte do terreno, é dada para cada unidade SOTER. Os principais critérios de diferenciação são a petrologia e a composição mineralógica (Holmes, 1968, Strahler, 1969). Na escala de 1:1 milhão, a litologia deve, pelo menos, ser especificada até o nível de grupo.
175	A percentagem da unidade SOTER que é, em grande parte (isto é, > 90%, excluindo assim as pequenas ilhas, etc.), permanentemente (isto é, mais do que 10 meses/ano) coberta pela água. Corpos de água grandes o suficiente para serem delineados no mapa não são considerados parte de uma unidade SOTER.
176	O número sequencial do componente de terreno no terreno. O maior componente de terreno na unidade SOTER vem em primeiro lugar, seguindo-se o segundo em tamanho, e assim por diante. A combinação do unit_ID SOTER e do número do componente de terreno (por exemplo, 2034/1) constitui o código de identificação completo para cada componente de terreno dentro da base de dados.
177	A proporção que o componente de terreno ou o componente de solo ocupa no interior da unidade SOTER. Cada componente normalmente cobre não menos de 15% da unidade SOTER. A soma de todos os componentes de terreno, assim como a soma de todos os componentes de solo dentro de uma unidade SOTER, deve ser de 100%.
178	Declividade dominante do componente de terreno (em porcentagem).
179	Comprimento dominante estimado da vertente ou declive. Um atributo do componente de terreno.
180	A forma do declive dominante (informada apenas a declividade dominante é > 20%).
181	Uma série de formas características de meso-relevo ou da superfície local pode ser reconhecida na escala de 1:1 milhão (Day, 1983, Fao, 1977,  Soil Survey Staff, 1951), além da forma do declive.
182	A altura média do meso-relevo (ou profundidade quando aplicável), a profundidade a sendo indicada por um sinal negativo.
183	A estimativa de cobertura percentual dos elementos de meso-relevo dentro do componente de terreno.
184	Descrição dos materiais superficiais consolidados ou não consolidados, subjacentes a maior parte do componente de terreno. Isso inclui os tipos de massa rochosa a partir da qual o material parental é derivado, e outros depósitos minerais ou orgânicos não consolidados. A lista de materiais parentais usada é mesma usada para a litologia da unidade de terreno SOTER. Se o nível do tipo de material parental, já indicado no nível de terreno, não varia, então nenhuma entrada adicional deve ser feita aqui. Uma propriedade do componente de terreno SOTER.
185	Descrição do grupo textural das partículas < 2 mm do material parental não consolidado, ou do material parental a 2 m, se o solo for muito desenvolvido. O triângulo textural mostra os diferentes grupos.
186	A profundidade média até o leito rochoso consolidado. Para profundidades inferiores a 2 m, a unidade é de 0,1 m. Para profundidades superiores a 10 m, a profundidade no pode ser informada com uma precisão de 5 m.
187	Drenagem superficial do componente de terreno (segundo Cochrane et al., 1985, e Van Waveren et al., 1987).
188	A profundidade do nível médio de água subterrânea ao longo de um certo número de anos, conforme verificado no componente de terreno.
189	Informe o mês (indicado por um número: janeiro é 1, dezembro é 12) durante o qual a inundação do componente de terreno normalmente começa.
190	O número sequencial do solo dentro do componente de terreno, de acordo com o ranqueamento do componente do solo dentro do componente de terreno (o maior componente do solo recebe o número 1, o segundo maior o número 2, etc.) Componentes do solo são o menor nível de diferenciação das unidades de SOTER.
191	O número de perfis de referência que foram consideradas para a seleção do perfil representativo é indicado. Estes perfis contribuíram também para a determinação de valores máximos e mínimos para um certo número de parâmetros químicos e físicos do solo. Um atributo SOTER do componente de solo.
192	A posição relativa do componente de solo dentro do componente de terreno.
193	Caracterização do tipo de erosão ou de deposição de acordo com FAO (1990).
194	O grau de tendência da superfície do solo à ocorrência de selamento (FAO, 1990).
195	A profundidade estimada, em centímetros, até o qual o crescimento radicular não é limitado por qualquer impedimento físico ou químico, tal como uma camada impenetrável ou tóxicos. Rochas fortemente fraturadas, tais como folhelhos, podem ser considerados como suscetíveis à penetração radicular. Classes definidas pela FAO (1990).
196	"Indicação sucinta da relação entre o componente do solo e os componentes de solo adjacentes (por exemplo:""O componente de solo A formou em material coluvial derivado do componente de solo B"")."
197	O mês em que o perfil foi descrito e amostrado. No caso dessas duas atividades terem sido realizadas em diferentes meses, o mês de amostragem devem ser tomado.
198	O ano em que o perfil foi descrito e amostrado. No caso dessas duas atividades terem sido realizadas em diferentes anos, o ano de amostragem devem ser tomado.
199	Qualquer liteira ou outro material orgânico na superfície é descrito de acordo com a espessura (em cm) e grau de decomposição (Soil Survey Staff, 1975).
200	O ano de publicação da versão da Legenda da FAO utilizado para a caracterização.
201	A classificação original nacional ou local do perfil.
202	Código para o perfil (representativo). Qualquer código nacional é permitido, desde que seja único a nível nacional. Um código ISO do país deve preceder o código nacional.
203	O código de identificação do proprietário, instituto ou organização que detém (em parte) o banco de dados nacional de perfis de solo. O código é composto de um código ISO para o país e um número sequencial.
204	O código para o laboratório de solos, que analisou as amostras: código ISO do país, seguido por um número sequencial.
205	Classificação taxonômica do solo de acordo com a Legenda do Mapa de Solos do Mundo (FAO-Unesco, Roma).
206	Um número consecutivo, a começar pela camada superficial, alocado a cada horizonte.
207	Horizontes do solo que reúnem um conjunto de propriedades que são usadas ​​para identificar as unidades de solo são chamados de 'horizontes diagnósticos'. Uma vez que as características dos horizontes do solo são produzidas por processos de formação do solo, a utilização de horizontes diagnósticos para a separação das unidades de solo relaciona a classificação aos princípios gerais da gênese do solo. A objetividade é assegurada, no entanto, na medida em que os processos em si mesmos não são utilizados como critérios, mas apenas os seus efeitos, expressos quantitativamente em termos de propriedades morfológicas definidas que têm um valor de identificação.
208	Algumas das feições utilizadas para separar unidades de solo não pode ser consideradas como horizontes. São características diagnósticas dos horizontes ou de materiais do solo que, quando utilizadas para fins de classificação, necessitam ser definidas quantitativamente.
209	Classes de tamanho para elementos de estrutura de vários tipos (Soil Survey Staff, 1951, FAO, 1990).
210	Tamanho da rocha dominante ou fragmentos minerais em classes (FAO, 1990).
211	Percentual, em massa, de partículas de 1,0-2,0 mm na fração terra fina.
212	Percentual, em massa, de partículas de 0,5-1,0 mm na fração terra fina.
213	Percentagem, em massa, de partículas de 0,25-0,5 mm na fração terra fina.
214	Percentagem, em massa, de partículas de 0,10-0,25 mm na fração terra fina.
215	Percentagem, em massa, de partículas de 0,05-0,10 mm na fração terra fina.
216	Percentual, em massa, de partículas de 0,05-2,0 mm na fração terra fina. A fração areia total, quer como um valor absoluto, ou como a soma das sub-frações.
217	Percentagem, em massa, das partículas com diâmetro entre 0,002-0,05 mm na fração terra fina.
218	A taxa de infiltração básica.
219	O pH, tal como determinado no sobrenadante de uma suspensão de uma mistura 1:x de solo e água.
220	O pH, tal como determinado no sobrenadante de uma suspensão 1:x de uma mistura de solo com KCl 1 M.
221	A condutividade elétrica do extrato de saturação.
222	O teor de Na+ solúvel da pasta saturada.
223	O conteúdo de Ca++ solúvel da pasta saturada.
224	O conteúdo de Mg++ solúvel na pasta saturada.
225	O conteúdo de K+ solúvel da pasta saturada.
226	O conteúdo de Cl- solúvel da pasta saturada.
227	O conteúdo de SO4-- solúvel da pasta saturada.
228	O conteúdo de HCO3- solúvel da pasta saturada.
229	O conteúdo de CO3- solúvel da pasta saturada.
230	O Ca++ trocável.
231	O Mg++ trocável.
232	O Na+ trocável.
233	O K+ trocável.
234	O Al+++ trocável.
235	A acidez trocável, conforme determinado em KCl 1N.
236	A capacidade de troca de cátions do solo em pH 7,0.
237	O conteúdo de carbonatos.
238	O conteúdo gesso.
239	O conteúdo de carbono orgânico total (para os primeiros 25 cm do solo superficial, ou o horizonte A, o que for mais profundo).
240	O conteúdo de N total.
241	O conteúdo de P2O5.
242	A retenção de fosfato, geralmente em %.
243	A fração Fe extraível em ditionito.
244	A fração Fe extraível em pirofosfato a pH 10.
245	A fração Al extraível em ditionito.
246	A fração Al extraível em pirofosfato a pH 10.
247	O tipo dominante de mineral na fração argila.
248	Se dois (ou mais) componentes de terreno são completamente similares, então seus dados só serão adicionados uma vez no banco de dados. Quando referindo-se ao código de identificação dos dados (data_ID) de um componente de terreno já descrito, o primeiro componente de terreno com um determinado conteúdo de atributo também será utilizado para os componentes de terreno idênticos subsequentes. No caso de um componente de terreno não ter sido descrito antes na base de dados, então o seu código também será utilizado como o seu código de dados.
249	A profundidade de referência de um perfil de solo, aqui definida como a profundidade máxima a que o perfil foi descrito/amostrado no campo, ou documentado na base de dados de origem.
250	Fases são subdivisões das unidades de solo com base em características que sejam significativas para o uso ou o manejo da terra, mas não são diagnósticas para a separação de unidades de solo em si. Fases, tal como definido na Legenda do Mapa de Solos do Mundo da FAO-Unesco, 1974.
251	Grupo de solo de referência de acordo com a World Reference Base for Soil Resources (FAO, 2006).
252	Versão (ou seja, ano) do Soil Taxonomy do USDA usado.
253	O clima local, classificado de acordo com o sistema de Köppen, que considera a eficácia da precipitação para o crescimento das plantas como o principal fator de classificação, e usa os valores sazonais apropriados de temperatura e precipitação para determinar os limites dos agrupamentos climáticos. O sistema de Köppen utiliza um código abreviado com letras que designam os grupos climáticos principais, subgrupos dentro dos grupos principais, com subdivisões subsequentes para distinguir determinadas características sazonais de temperatura e precipitação (adaptado de Strahler, 1969, p 224, Times Atlas, 1993).
254	Principal material parental a partir do qual o solo foi formado (após as convenções do SOTER e FAO/ISRIC (1990, p.14)).
255	"Código para o horizonte. Sempre que possível, a designação horizonte deve ser dada de acordo com a terminologia do ""Guidelines for Soil Description"" (FAO, 2006). Caso contrário, as convenções do sistema nacional são mantidos."
256	O teor de carbono orgânico total.
257	Condutividade eléctrica (Ec(x)) para o horizonte, para a razão solo:água especificada (isto é, x), a 25°C.
258	Reação do solo medido em água a uma relação solo:água especificada.
259	Reação do solo medida em solução de KCl numa relação solo:solução e molaridade especificadas.
260	Reação do solo medida em solução de CaCl2 numa relação solo:solução e molaridade especificadas.
261	Acidez trocável, a soma de Al+++ e H+, obtidos com uma percolação (filtragem) de uma amostra de solo com uma solução de KCl 1 M. A acidez trocável é ​​medida por titulação do percolado, e o alumínio trocável é determinado separadamente no percolado (van Reeuwijk, 2002). [Nota: os valores de acidez trocável, determinados no percolado de KCl 1 M, e acidez trocável, equilibrada com um tampão de BaCl2-TEA a pH 8,2, referem-se a métodos de medição essencialmente diferentes].
262	A capacidade de troca de cátions (CTC) da fração terra fina.
263	A saturação de bases (SB), calculada como a soma de cátions básicos trocáveis ​​(Ca++, Mg++, K+ e Na+), dividida pela CTC (solo), vezes 100%. O método analítico deve ser especificado.
264	Percentagem, em massa, de areia. A distribuição do tamanho de partículas refere-se apenas à fração terra fina (< 2 mm). O procedimento analítico e o diâmetro esférico equivalente são definidos no método analítico de laboratório.
265	Percentual, em massa, de silte. A distribuição do tamanho de partícula refere-se apenas à fração de terra fina (< 2 mm). O procedimento analítico e diâmetro esférico equivalente são definidos no método analítico de laboratório.
266	Percentagem, em massa, de argila. A distribuição do tamanho de partícula refere-se apenas à fração de terra fina (< 2 mm). O procedimento analítico e diâmetro esférico equivalente são definidos no método analítico de laboratório.
267	Cascalho geralmente representa uma estimativa visual da percentagem de grandes fragmentos de rocha e minerais - fragmentos grosseiros - com diâmetro superior a 2 mm. Pelo contrário, quando são dadas percentagens, em massa, da quantidade de fragmentos > 2 mm nos dados de origem, esses valores foram convertidos para percentual de volume (veja Schoenberger et al., 2002).
268	As condições das quais a localização do perfil foi derivada - é indicativa da acurácia da localização do perfil.
269	Material parental é definido como o material mineral ou orgânico não-consolidado a partir do qual o solo verdadeiramente se desenvolve. Rocha parental é definida como a massa rochosa a partir da qual o material parental é derivado.
270	Modo de acumulação ou deposição do material parental.
271	Textura do material parental.
272	Caracterização geral do status de intemperismo da rocha sólida.
273	Resistência ao intemperismo (apenas da rocha sólida).
274	Escoamento superficial estimado.
275	Natureza da água de inundação
276	A abundância de poros é registada como o número de poros por unidade de área num decímetro quadrado.
277	Continuidade de poros (para poros tubulares).
278	Percentagem, em massa, de partículas de 50-1000 μm na fração terra fina.
279	Percentagem, em massa, de partículas de 20-2000 μm na fração terra fina.
280	Percentual, em massa, de partículas de 0,001-0,05 mm na fração terra fina.
281	Percentagem, em massa, de partículas de 0,005-0,05 mm na fração terra fina.
282	Percentagem, em massa, de partículas de < 1 μm na fração terra fina (partículas < 2000 μm).
283	Percentagem, em massa, de partículas < 5 μm na fração terra fina (partículas < 2000 μm)
284	De 200 a 500 nm.
